"","seasonality"
"F.1992.jan.1",0.0416666666666667
"F.1992.jan.2",0.0416666666666667
"F.1992.feb.1",0.0416666666666667
"F.1992.feb.2",0.0416666666666667
"F.1992.mar.1",0.0416666666666667
"F.1992.mar.2",0.0416666666666667
"F.1992.apr.1",0.0416666666666667
"F.1992.apr.2",0.0416666666666667
"F.1992.may.1",0.0416666666666667
"F.1992.may.2",0.0416666666666667
"F.1992.jun.1",0.0416666666666667
"F.1992.jun.2",0.0416666666666667
"F.1992.jul.1",0.0416666666666667
"F.1992.jul.2",0.0416666666666667
"F.1992.aug.1",0.0416666666666667
"F.1992.aug.2",0.0416666666666667
"F.1992.sep.1",0.0416666666666667
"F.1992.sep.2",0.0416666666666667
"F.1992.oct.1",0.0416666666666667
"F.1992.oct.2",0.0416666666666667
"F.1992.nov.1",0.0416666666666667
"F.1992.nov.2",0.0416666666666667
"F.1992.dec.1",0.0416666666666667
"F.1992.dec.2",0.0416666666666667
"F.1993.jan.1",0.0416666666666667
"F.1993.jan.2",0.0416666666666667
"F.1993.feb.1",0.0416666666666667
"F.1993.feb.2",0.0416666666666667
"F.1993.mar.1",0.0416666666666667
"F.1993.mar.2",0.0416666666666667
"F.1993.apr.1",0.0416666666666667
"F.1993.apr.2",0.0416666666666667
"F.1993.may.1",0.0416666666666667
"F.1993.may.2",0.0416666666666667
"F.1993.jun.1",0.0416666666666667
"F.1993.jun.2",0.0416666666666667
"F.1993.jul.1",0.0416666666666667
"F.1993.jul.2",0.0416666666666667
"F.1993.aug.1",0.0416666666666667
"F.1993.aug.2",0.0416666666666667
"F.1993.sep.1",0.0416666666666667
"F.1993.sep.2",0.0416666666666667
"F.1993.oct.1",0.0416666666666667
"F.1993.oct.2",0.0416666666666667
"F.1993.nov.1",0.0416666666666667
"F.1993.nov.2",0.0416666666666667
"F.1993.dec.1",0.0416666666666667
"F.1993.dec.2",0.0416666666666667
"F.1994.jan.1",0.0416666666666667
"F.1994.jan.2",0.0416666666666667
"F.1994.feb.1",0.0416666666666667
"F.1994.feb.2",0.0416666666666667
"F.1994.mar.1",0.0416666666666667
"F.1994.mar.2",0.0416666666666667
"F.1994.apr.1",0.0416666666666667
"F.1994.apr.2",0.0416666666666667
"F.1994.may.1",0.0416666666666667
"F.1994.may.2",0.0416666666666667
"F.1994.jun.1",0.0416666666666667
"F.1994.jun.2",0.0416666666666667
"F.1994.jul.1",0.0416666666666667
"F.1994.jul.2",0.0416666666666667
"F.1994.aug.1",0.0416666666666667
"F.1994.aug.2",0.0416666666666667
"F.1994.sep.1",0.0416666666666667
"F.1994.sep.2",0.0416666666666667
"F.1994.oct.1",0.0416666666666667
"F.1994.oct.2",0.0416666666666667
"F.1994.nov.1",0.0416666666666667
"F.1994.nov.2",0.0416666666666667
"F.1994.dec.1",0.0416666666666667
"F.1994.dec.2",0.0416666666666667
"F.1995.jan.1",0.0416666666666667
"F.1995.jan.2",0.0416666666666667
"F.1995.feb.1",0.0416666666666667
"F.1995.feb.2",0.0416666666666667
"F.1995.mar.1",0.0416666666666667
"F.1995.mar.2",0.0416666666666667
"F.1995.apr.1",0.0416666666666667
"F.1995.apr.2",0.0416666666666667
"F.1995.may.1",0.0416666666666667
"F.1995.may.2",0.0416666666666667
"F.1995.jun.1",0.0416666666666667
"F.1995.jun.2",0.0416666666666667
"F.1995.jul.1",0.0416666666666667
"F.1995.jul.2",0.0416666666666667
"F.1995.aug.1",0.0416666666666667
"F.1995.aug.2",0.0416666666666667
"F.1995.sep.1",0.0416666666666667
"F.1995.sep.2",0.0416666666666667
"F.1995.oct.1",0.0416666666666667
"F.1995.oct.2",0.0416666666666667
"F.1995.nov.1",0.0416666666666667
"F.1995.nov.2",0.0416666666666667
"F.1995.dec.1",0.0416666666666667
"F.1995.dec.2",0.0416666666666667
"F.1996.jan.1",0.0416666666666667
"F.1996.jan.2",0.0416666666666667
"F.1996.feb.1",0.0416666666666667
"F.1996.feb.2",0.0416666666666667
"F.1996.mar.1",0.0416666666666667
"F.1996.mar.2",0.0416666666666667
"F.1996.apr.1",0.0416666666666667
"F.1996.apr.2",0.0416666666666667
"F.1996.may.1",0.0416666666666667
"F.1996.may.2",0.0416666666666667
"F.1996.jun.1",0.0416666666666667
"F.1996.jun.2",0.0416666666666667
"F.1996.jul.1",0.0416666666666667
"F.1996.jul.2",0.0416666666666667
"F.1996.aug.1",0.0416666666666667
"F.1996.aug.2",0.0416666666666667
"F.1996.sep.1",0.0416666666666667
"F.1996.sep.2",0.0416666666666667
"F.1996.oct.1",0.0416666666666667
"F.1996.oct.2",0.0416666666666667
"F.1996.nov.1",0.0416666666666667
"F.1996.nov.2",0.0416666666666667
"F.1996.dec.1",0.0416666666666667
"F.1996.dec.2",0.0416666666666667
"F.1997.jan.1",0.0416666666666667
"F.1997.jan.2",0.0416666666666667
"F.1997.feb.1",0.0416666666666667
"F.1997.feb.2",0.0416666666666667
"F.1997.mar.1",0.0416666666666667
